Package,LibPath,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,MD5sum,NeedsCompilation,Built
AER,D:/software/R/R-3.6.3/library,1.2-9,NA,"R (>= 3.0.0), car (>= 2.0-19), lmtest, sandwich (>= 2.4-0),
survival (>= 2.37-5), zoo","stats, Formula (>= 0.2-0)",NA,"boot, dynlm, effects, fGarch, forecast, foreign, ineq,
KernSmooth, lattice, longmemo, MASS, mlogit, nlme, nnet, np,
plm, pscl, quantreg, rgl, ROCR, rugarch, sampleSelection,
scatterplot3d, strucchange, systemfit (>= 1.1-20), truncreg,
tseries, urca, vars",NA,GPL-2 | GPL-3,NA,NA,NA,NA,no,3.6.3
agricolae,D:/software/R/R-3.6.3/library,1.3-2,NA,R (>= 2.10),"klaR, MASS, nlme, cluster, AlgDesign, graphics",NA,NA,NA,GPL,NA,NA,NA,NA,no,3.6.3
AICcmodavg,D:/software/R/R-3.6.3/library,2.2-2,NA,R (>= 3.2.0),"methods, stats, graphics, lattice, MASS, Matrix, nlme, stats4,
survival, unmarked, VGAM, xtable",NA,"betareg, coxme, fitdistrplus, glmmTMB, lavaan, lme4, maxlike,
nnet, ordinal, pscl, R2jags, R2OpenBUGS, R2WinBUGS, jagsUI,
lmerTest",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
akima,D:/software/R/R-3.6.3/library,0.6-2,NA,R (>= 2.0.0),sp,NA,NA,NA,ACM | file LICENSE,NA,yes,NA,NA,yes,3.6.3
alabama,D:/software/R/R-3.6.3/library,2015.3-1,NA,"R (>= 2.10.1), numDeriv",NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.0
alpaca,D:/software/R/R-3.6.3/library,0.3.2,NA,R (>= 3.1.0),"data.table, Formula, MASS, Rcpp, stats, utils","Rcpp, RcppArmadillo","bife, car, knitr, lfe",NA,GPL-3,NA,NA,NA,NA,yes,3.6.3
alphahull,D:/software/R/R-3.6.3/library,2.2,NA,NA,"ggplot2, tripack, R.utils, sgeostat, spatstat, splancs",NA,NA,NA,file LICENSE,NA,yes,NA,NA,yes,3.6.3
alphashape3d,D:/software/R/R-3.6.3/library,1.3,NA,"geometry, rgl",NA,NA,alphahull,NA,GPL-2,NA,NA,NA,NA,yes,3.6.3
alr3,D:/software/R/R-3.6.3/library,2.0.8,NA,"R (>= 3.2.0), car",NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
alr4,D:/software/R/R-3.6.3/library,1.0.6,NA,"R (>= 3.0), car, effects",NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
amap,D:/software/R/R-3.6.3/library,0.8-18,NA,R (>= 3.6.0),NA,NA,Biobase,NA,GPL,NA,NA,NA,NA,yes,3.6.1
Amelia,D:/software/R/R-3.6.3/library,1.7.6,NA,"R (>= 3.0.2), Rcpp (>= 0.11)","foreign, utils, grDevices, graphics, methods, stats","Rcpp (>= 0.11), RcppArmadillo","tcltk, Zelig",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.3
AmesHousing,D:/software/R/R-3.6.3/library,0.0.3,NA,R (>= 2.10),"dplyr, magrittr",NA,NA,NA,GPL-2,NA,NA,NA,NA,no,3.6.3
analogsea,D:/software/R/R-3.6.3/library,0.8.0,NA,NA,"stats, utils, httr (>= 1.2.0), jsonlite (>= 1.1), magrittr,
yaml",NA,"testthat, knitr, ssh (>= 0.6), aws.s3",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.3
animation,D:/software/R/R-3.6.3/library,2.6,NA,R (>= 2.14.0),magick,NA,"MASS, class, testit",NA,GPL,NA,NA,NA,NA,no,3.6.3
annotate,D:/software/R/R-3.6.3/library,1.64.0,NA,"R (>= 2.10), AnnotationDbi (>= 1.27.5), XML","Biobase, DBI, xtable, graphics, utils, stats, methods,
BiocGenerics (>= 0.13.8), RCurl",NA,"hgu95av2.db, genefilter, Biostrings (>= 2.25.10), IRanges,
rae230a.db, rae230aprobe, tkWidgets, GO.db, org.Hs.eg.db,
org.Mm.eg.db, hom.Hs.inp.db, humanCHRLOC, Rgraphviz, RUnit,",NA,Artistic-2.0,NA,NA,NA,NA,no,3.6.1
AnnotationDbi,D:/software/R/R-3.6.3/library,1.48.0,NA,"R (>= 2.7.0), methods, utils, stats4, BiocGenerics (>=
0.29.2), Biobase (>= 1.17.0), IRanges","DBI, RSQLite, S4Vectors (>= 0.9.25)",NA,"hgu95av2.db, GO.db, org.Sc.sgd.db, org.At.tair.db, KEGG.db,
RUnit, TxDb.Hsapiens.UCSC.hg19.knownGene, hom.Hs.inp.db,
org.Hs.eg.db, reactome.db, AnnotationForge, graph,
EnsDb.Hsapiens.v75, BiocStyle, knitr",NA,Artistic-2.0,NA,NA,NA,NA,no,3.6.1
antiword,D:/software/R/R-3.6.3/library,1.3,NA,NA,sys (>= 2.0),NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.3
ape,D:/software/R/R-3.6.3/library,5.3,NA,R (>= 3.2.0),"nlme, lattice, graphics, methods, stats, tools, utils,
parallel, Rcpp (>= 0.12.0)",Rcpp,"gee, expm, igraph",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.3
aplpack,D:/software/R/R-3.6.3/library,1.3.3,NA,R (>= 3.0.0),NA,NA,"tkrplot, jpeg, png, splines, utils, tcltk",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
argon2,D:/software/R/R-3.6.3/library,0.2-0,NA,R (>= 3.0.0),NA,NA,NA,NA,BSD 2-clause License + file LICENSE,NA,NA,NA,NA,yes,3.6.0
argonDash,D:/software/R/R-3.6.3/library,0.2.0,NA,NA,"shiny, htmltools, argonR",NA,magrittr,NA,GPL-2,NA,NA,NA,NA,no,3.6.3
argonR,D:/software/R/R-3.6.3/library,0.2.0,NA,NA,"htmltools, utils, rstudioapi",NA,"magrittr, knitr, rmarkdown, shiny",NA,GPL-2,NA,NA,NA,NA,no,3.6.3
arm,D:/software/R/R-3.6.3/library,1.10-1,NA,"R (>= 3.1.0), MASS, Matrix (>= 1.0), stats, lme4 (>= 1.0)","abind, coda, graphics, grDevices, methods, nlme, utils",NA,NA,NA,GPL (>= 3),NA,NA,NA,NA,no,3.6.3
arules,D:/software/R/R-3.6.3/library,1.6-5,NA,"R (>= 3.4.0), Matrix (>= 1.2-0)","stats, methods, graphics, utils",NA,"pmml, XML, arulesViz, testthat",NA,GPL-3,NA,NA,NA,NA,yes,3.6.3
arulesViz,D:/software/R/R-3.6.3/library,1.3-3,NA,"arules (>= 1.4.1), grid","scatterplot3d, vcd, seriation, igraph (>= 1.0.0), graphics,
methods, utils, grDevices, stats, colorspace, DT, plotly,
visNetwork",NA,"graph, Rgraphviz, iplots, shiny, shinythemes, htmlwidgets",NA,GPL-3,NA,NA,NA,NA,no,3.6.3
ashr,D:/software/R/R-3.6.3/library,2.2-47,NA,R (>= 3.1.0),"Matrix, stats, graphics, Rcpp (>= 0.10.5), truncnorm, mixsqp,
SQUAREM, etrunct, invgamma",Rcpp,"testthat, knitr, rmarkdown, ggplot2, REBayes",NA,GPL (>= 3),NA,NA,NA,NA,yes,3.6.3
askpass,D:/software/R/R-3.6.3/library,1.1,NA,NA,sys (>= 2.1),NA,testthat,NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.3
assertthat,D:/software/R/R-3.6.3/library,0.2.1,NA,NA,tools,NA,"testthat, covr",NA,GPL-3,NA,NA,NA,NA,no,3.6.3
ATR,D:/software/R/R-3.6.3/library,0.1-1,NA,"grid, partykit",stats,NA,"trtf, mlbench",NA,GPL-2,NA,NA,NA,NA,no,3.6.3
AUC,D:/software/R/R-3.6.3/library,0.3.0,NA,NA,NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.0
av,D:/software/R/R-3.6.3/library,0.5.0,NA,R (>= 3.5),NA,NA,"testthat, ps, ggplot2, gapminder",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.3
aws.s3,D:/software/R/R-3.6.3/library,0.3.21,NA,NA,"utils, tools, curl, httr, xml2 (> 1.0.0), base64enc, digest,
aws.signature (>= 0.3.7)",NA,"testthat, datasets",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
aws.signature,D:/software/R/R-3.6.3/library,0.5.2,NA,NA,"digest, base64enc",NA,"testthat (>= 2.1.0), aws.ec2metadata (>= 0.1.6)",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
backports,D:/software/R/R-3.6.3/library,1.1.6,NA,R (>= 3.0.0),utils,NA,NA,NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.6.3
bartMachine,D:/software/R/R-3.6.3/library,1.2.4.2,NA,"R (>= 2.14.0), rJava (>= 0.9-8), bartMachineJARs (>= 1.0),
car, randomForest, missForest","graphics, grDevices, stats",NA,NA,NA,GPL-3,NA,NA,NA,NA,no,3.6.3
bartMachineJARs,D:/software/R/R-3.6.3/library,1.1,NA,"R (>= 2.14.0), rJava (>= 0.9-8)",NA,NA,NA,NA,GPL-3,NA,NA,NA,NA,no,3.6.0
base,D:/software/R/R-3.6.3/library,3.6.3,base,NA,NA,NA,methods,NA,Part of R 3.6.3,NA,NA,NA,NA,NA,3.6.3
base64enc,D:/software/R/R-3.6.3/library,0.1-3,NA,R (>= 2.9.0),NA,NA,NA,png,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.6.0
base64url,D:/software/R/R-3.6.3/library,1.4,NA,NA,backports (>= 1.1.0),NA,"base64enc, checkmate, knitr, microbenchmark, openssl,
rmarkdown, testthat",NA,GPL-3,NA,NA,NA,NA,yes,3.6.3
basefun,D:/software/R/R-3.6.3/library,1.0-7,NA,"variables (>= 0.0-30), R (>= 3.2.0)","stats, polynom, Matrix, orthopolynom, methods",NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.3
BatchJobs,D:/software/R/R-3.6.3/library,1.8,NA,"R (>= 3.0.0), BBmisc (>= 1.9), methods","backports (>= 1.1.1), brew, checkmate (>= 1.8.0), data.table
(>= 1.9.6), DBI, digest, parallel, RSQLite (>= 1.0.9011),
sendmailR, stats, stringi (>= 0.4-1), utils",NA,"MASS, testthat",NA,BSD_2_clause + file LICENSE,NA,NA,NA,NA,no,3.6.3
batchtools,D:/software/R/R-3.6.3/library,0.9.13,NA,R (>= 3.0.0),"backports (>= 1.1.2), base64url (>= 1.1), brew, checkmate (>=
1.8.5), data.table (>= 1.11.2), digest (>= 0.6.9), fs (>=
1.2.0), parallel, progress (>= 1.1.1), R6, rappdirs, stats,
stringi, utils, withr (>= 2.0.0)",NA,"debugme, doParallel, doMPI, e1071, foreach, future,
future.batchtools, knitr, parallelMap, ranger, rmarkdown,
rpart, snow, testthat, tibble",NA,LGPL-3,NA,NA,NA,NA,yes,3.6.3
bayesplot,D:/software/R/R-3.6.3/library,1.7.1,NA,R (>= 3.1.0),"dplyr (>= 0.8.0), ggplot2 (>= 2.2.1), ggridges, glue,
reshape2, rlang (>= 0.3.0), stats, tibble, tidyselect, utils",NA,"gridExtra (>= 2.2.1), hexbin, knitr (>= 1.16), loo (>=
2.0.0), RColorBrewer, rmarkdown (>= 1.0.0), rstan (>= 2.17.1),
rstanarm (>= 2.17.4), rstantools (>= 1.5.0), scales, shinystan
(>= 2.3.0), testthat (>= 2.0.0), vdiffr",NA,GPL (>= 3),NA,NA,NA,NA,no,3.6.3
BayesX,D:/software/R/R-3.6.3/library,0.3-1,NA,shapefiles,"sp, maptools, colorspace, coda, splines, methods",NA,"spdep, akima, gpclib, rgeos",NA,GPL-2 | GPL-3,NA,NA,NA,NA,no,3.6.3
BayesXsrc,D:/software/R/R-3.6.3/library,3.0-1,NA,R (>= 2.8.0),NA,NA,R2BayesX,NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.6.3
BB,D:/software/R/R-3.6.3/library,2019.10-1,NA,R (>= 2.6.1),"stats, quadprog",NA,"setRNG, survival, Hmisc, numDeriv",NA,GPL-3,NA,NA,NA,NA,no,3.6.3
BBmisc,D:/software/R/R-3.6.3/library,1.11,NA,NA,"utils, methods, stats, checkmate (>= 1.8.0)",NA,"testthat, microbenchmark, codetools",NA,BSD_2_clause + file LICENSE,NA,NA,NA,NA,yes,3.6.3
bbmle,D:/software/R/R-3.6.3/library,1.0.23.1,NA,"R (>= 3.0.0), stats4","stats, numDeriv, lattice, MASS, methods, bdsmatrix, Matrix,
mvtnorm",NA,"emdbook, rms, ggplot2, RUnit, MuMIn, AICcmodavg, Hmisc,
optimx (>= 2013.8.6), knitr, testthat",NA,GPL,NA,NA,NA,NA,no,3.6.3
bdsmatrix,D:/software/R/R-3.6.3/library,1.3-4,NA,"methods, R (>= 2.0.0)",NA,NA,NA,NA,LGPL-2,NA,NA,NA,NA,yes,3.6.2
beepr,D:/software/R/R-3.6.3/library,1.3,NA,NA,"stringr (>= 1.0.0), audio",NA,NA,NA,GPL-3,NA,NA,NA,NA,no,3.6.3
bench,D:/software/R/R-3.6.3/library,1.1.1,NA,R (>= 3.1),"glue, methods, pillar, profmem, rlang (>= 0.2.0), stats,
tibble, utils",NA,"covr, dplyr, forcats, ggbeeswarm, ggplot2, ggridges, mockery,
parallel, scales, testthat, tidyr (>= 0.8.1), vctrs, withr",NA,GPL-3,NA,NA,NA,NA,yes,3.6.3
benchr,D:/software/R/R-3.6.3/library,0.2.5,NA,NA,"Rcpp (>= 0.12.11), RcppProgress, stats, graphics","Rcpp, RcppProgress","tinytest, ggplot2 (>= 3.3.0)",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.3
Bessel,D:/software/R/R-3.6.3/library,0.6-0,NA,NA,"methods, Rmpfr",NA,"gsl, sfsmisc",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.3
betareg,D:/software/R/R-3.6.3/library,3.1-3,NA,R (>= 3.0.0),"graphics, grDevices, methods, stats, flexmix, Formula, lmtest,
modeltools, sandwich",NA,"car, lattice, partykit, strucchange",NA,GPL-2 | GPL-3,NA,NA,NA,NA,no,3.6.3
BH,D:/software/R/R-3.6.3/library,1.72.0-3,NA,NA,NA,NA,NA,NA,BSL-1.0,NA,NA,NA,NA,no,3.6.2
BiasedUrn,D:/software/R/R-3.6.3/library,1.07,NA,NA,NA,NA,NA,NA,GPL-3,NA,NA,NA,NA,yes,3.6.0
bibtex,D:/software/R/R-3.6.3/library,0.4.2.2,NA,R (>= 3.0.2),"stringr, utils",NA,testthat,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.3
biclust,D:/software/R/R-3.6.3/library,2.0.2,NA,"R (>= 2.10), MASS, grid, colorspace, lattice","methods, flexclust, additivityTests, tidyr, ggplot2",NA,isa2,NA,GPL-3,NA,NA,NA,NA,yes,3.6.3
bife,D:/software/R/R-3.6.3/library,0.7,NA,R (>= 3.1.0),"data.table, Formula, Rcpp, stats","Rcpp, RcppArmadillo","alpaca, knitr",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.3
BIFIEsurvey,D:/software/R/R-3.6.3/library,3.3-12,NA,R (>= 3.1),"methods, miceadds, Rcpp, stats, utils","Rcpp, RcppArmadillo","graphics, grDevices, lavaan, lavaan.survey, mitools, survey,
TAM","Hmisc, intsvy, LSAmitR, svyPVpack",GPL (>= 2),NA,NA,NA,NA,yes,3.6.3
biglasso,D:/software/R/R-3.6.3/library,1.3-7,NA,"R (>= 3.2.0), bigmemory (>= 4.5.0), Matrix, ncvreg","Rcpp (>= 0.12.1), methods","Rcpp, RcppArmadillo, bigmemory, BH","parallel, testthat, R.rsp",NA,GPL-3,NA,NA,NA,NA,yes,3.6.3
biglm,D:/software/R/R-3.6.3/library,0.9-1,NA,"DBI, methods",NA,NA,"RSQLite, RODBC",leaps,GPL,NA,NA,NA,NA,yes,3.6.3
bigmemory,D:/software/R/R-3.6.3/library,4.5.36,NA,"R (>= 3.2.0),","methods, Rcpp, utils, bigmemory.sri","BH, Rcpp",testthat,"biganalytics, bigtabulate",LGPL-3 | Apache License 2.0,NA,NA,NA,NA,yes,3.6.3
binda,D:/software/R/R-3.6.3/library,1.0.3,NA,"R (>= 3.0.2), entropy (>= 1.2.1)","graphics, stats, utils",NA,crossval,NA,GPL (>= 3),NA,NA,NA,NA,no,3.6.3
binGroup,D:/software/R/R-3.6.3/library,2.2-1,NA,NA,"graphics, partitions, Rdpack, stats, utils",NA,NA,NA,GPL (>= 3),NA,NA,NA,NA,no,3.6.3
Biobase,D:/software/R/R-3.6.3/library,2.46.0,NA,"R (>= 2.10), BiocGenerics (>= 0.27.1), utils",methods,NA,"tools, tkWidgets, ALL, RUnit, golubEsets",NA,Artistic-2.0,NA,NA,NA,NA,yes,3.6.1
BiocGenerics,D:/software/R/R-3.6.3/library,0.32.0,NA,"R (>= 3.6.0), methods, utils, graphics, stats, parallel","methods, utils, graphics, stats, parallel",NA,"Biobase, S4Vectors, IRanges, GenomicRanges, DelayedArray,
Biostrings, Rsamtools, AnnotationDbi, oligoClasses, oligo,
affyPLM, flowClust, affy, DESeq2, MSnbase, annotate, RUnit",NA,Artistic-2.0,NA,NA,NA,NA,no,3.6.1
BiocManager,D:/software/R/R-3.6.3/library,1.30.10,NA,NA,utils,NA,"BiocStyle, BiocVersion, remotes, testthat, withr, curl, knitr",NA,Artistic-2.0,NA,NA,NA,NA,no,3.6.3
BiocVersion,D:/software/R/R-3.6.3/library,3.10.1,NA,R (>= 3.6.0),NA,NA,NA,NA,Artistic-2.0,NA,NA,NA,NA,no,3.6.0
bit,D:/software/R/R-3.6.3/library,1.1-15.2,NA,R (>= 2.9.2),NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.2
bit64,D:/software/R/R-3.6.3/library,0.9-7,NA,"R (>= 3.0.1), bit (>= 1.1-12), utils, methods, stats",NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.2
bitops,D:/software/R/R-3.6.3/library,1.0-6,NA,NA,NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.0
blme,D:/software/R/R-3.6.3/library,1.0-4,NA,"R (>= 3.0-0), lme4 (>= 1.0-6)","methods, stats, utils",NA,testthat (>= 0.9-0),NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
blob,D:/software/R/R-3.6.3/library,1.2.1,NA,NA,"methods, rlang, vctrs (>= 0.2.1)",NA,"covr, crayon, pillar (>= 1.2.1), testthat",NA,GPL-3,NA,NA,NA,NA,no,3.6.3
bnlearn,D:/software/R/R-3.6.3/library,4.5,NA,"R (>= 2.14.0), methods",NA,NA,"parallel, graph, Rgraphviz, lattice, gRain, ROCR, Rmpfr, gmp",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.3
bookdown,D:/software/R/R-3.6.3/library,0.18,NA,NA,"htmltools (>= 0.3.6), knitr (>= 1.22), rmarkdown (>= 2.0),
xfun (>= 0.6), tinytex (>= 0.12)",NA,"htmlwidgets, rstudioapi, miniUI, rsconnect (>= 0.4.3), servr
(>= 0.13), shiny, testit (>= 0.9), tufte, webshot",NA,GPL-3,NA,NA,NA,NA,no,3.6.3
boot,D:/software/R/R-3.6.3/library,1.3-24,recommended,"R (>= 3.0.0), graphics, stats",NA,NA,"MASS, survival",NA,Unlimited,NA,NA,NA,NA,no,3.6.3
BradleyTerry2,D:/software/R/R-3.6.3/library,1.1-2,NA,R (>= 2.10),"brglm, gtools, lme4 (>= 1.0), qvcalc, stats",NA,"prefmod, testthat",gnm,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
brew,D:/software/R/R-3.6.3/library,1.0-6,NA,NA,NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,NA,3.6.0
brglm,D:/software/R/R-3.6.3/library,0.6.2,NA,"R (>= 2.6.0), profileModel",NA,NA,MASS,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.3
brms,D:/software/R/R-3.6.3/library,2.12.0,NA,"R (>= 3.5.0), Rcpp (>= 0.12.0), methods","rstan (>= 2.19.2), ggplot2 (>= 2.0.0), loo (>= 2.2.0), Matrix
(>= 1.1.1), mgcv (>= 1.8-13), rstantools (>= 1.5.1), bayesplot
(>= 1.5.0), shinystan (>= 2.4.0), bridgesampling (>= 0.3-0),
glue (>= 1.3.0), matrixStats, nleqslv, nlme, coda, abind,
future, stats, utils, parallel, grDevices, backports",NA,"testthat (>= 0.9.1), RWiener, mice, spdep, mnormt, lme4,
MCMCglmm, splines2, ape, arm, statmod, digest, R.rsp, knitr,
rmarkdown",NA,GPL-2,NA,NA,NA,NA,no,3.6.3
brnn,D:/software/R/R-3.6.3/library,0.8,NA,"R (>= 3.5.0), Formula, truncnorm",NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.3
broom,D:/software/R/R-3.6.3/library,0.5.5,NA,R (>= 3.1),"backports, dplyr, generics (>= 0.0.2), methods, nlme, purrr,
reshape2, stringr, tibble, tidyr",NA,"AER, akima, AUC, bbmle, betareg, biglm, binGroup, boot, brms,
btergm, car, caret, coda, covr, e1071, emmeans, ergm, gam (>=
1.15), gamlss, gamlss.data, gamlss.dist, geepack, ggplot2,
glmnet, gmm, Hmisc, irlba, Kendall, knitr, ks, Lahman, lavaan,
lfe, lme4, lmodel2, lmtest, lsmeans, maps, maptools, MASS,
Matrix, mclust, mgcv, muhaz, multcomp, network, nnet, orcutt
(>= 2.2), ordinal, plm, plyr, poLCA, psych, quantreg, rgeos,
rmarkdown, rsample, rstan, rstanarm, sp, speedglm,
statnet.common, survey, survival, testthat, tseries, xergm, zoo",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.3
broom.mixed,D:/software/R/R-3.6.3/library,0.2.4,NA,NA,"broom, dplyr, tidyr, plyr, purrr, tibble, reshape2, nlme,
methods, stringr, coda, TMB",NA,"knitr, testthat, ggplot2, Matrix, MCMCglmm, lme4, rstan,
rstanarm, brms, mgcv, gamlss, gamlss.data, lmerTest, glmmADMB,
glmmTMB, dotwhisker, pander, R2jags",NA,GPL-3,NA,NA,NA,NA,no,3.6.3
BRugs,D:/software/R/R-3.6.3/library,0.9-0,NA,R (>= 3.3.0),"utils, coda, grDevices, graphics, stats",NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.3
bs4Dash,D:/software/R/R-3.6.3/library,0.5.0,NA,NA,"shiny, htmltools",NA,"plotly, shinyWidgets, knitr, rmarkdown",NA,GPL (>= 2) | file LICENSE,NA,NA,NA,NA,no,3.6.3
bshazard,D:/software/R/R-3.6.3/library,1.1,NA,"R(>= 3.3.3),splines,survival,Epi",NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,no,3.6.3
BsMD,D:/software/R/R-3.6.3/library,2013.0718-1,NA,R(>= 2.14.0),NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.0
bssm,D:/software/R/R-3.6.3/library,0.1.11,NA,R (>= 3.1.3),"coda (>= 0.18-1), diagis, ggplot2 (>= 2.0.0), Rcpp (>= 0.12.3)","BH, Rcpp, RcppArmadillo, ramcmc, sitmo","bayesplot, KFAS (>= 1.2.1), knitr (>= 1.11), MASS, ramcmc,
rmarkdown (>= 0.8.1), sde, sitmo, testthat",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.3
bst,D:/software/R/R-3.6.3/library,0.3-17,NA,NA,"rpart, methods, foreach, doParallel, gbm",NA,"hdi, pROC, R.rsp, knitr, gdata",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
C50,D:/software/R/R-3.6.3/library,0.1.3,NA,R (>= 2.10.0),"partykit, Cubist (>= 0.2.3)",NA,"knitr, modeldata",NA,GPL-3,NA,NA,NA,NA,yes,3.6.3
ca,D:/software/R/R-3.6.3/library,0.71.1,NA,R (>= 3.0.0),NA,NA,"rgl (>= 0.64-10), vcd",NA,GPL,NA,NA,NA,NA,no,3.6.3
Cairo,D:/software/R/R-3.6.3/library,1.5-11,NA,R (>= 2.4.0),"grDevices, graphics",NA,png,FastRWeb,GPL-2,NA,NA,NA,NA,yes,3.6.3
callr,D:/software/R/R-3.6.3/library,3.4.3,NA,NA,"processx (>= 3.4.0), R6, utils",NA,"cliapp, covr, crayon, fansi, pingr, ps, rprojroot, spelling,
testthat, tibble, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.3
candisc,D:/software/R/R-3.6.3/library,0.8-0,NA,"car, heplots (>= 0.8-6), graphics, stats",NA,NA,"rgl, corrplot, knitr, rmarkdown, MASS, rpart, rpart.plot",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
car,D:/software/R/R-3.6.3/library,3.0-7,NA,"R (>= 3.5.0), carData (>= 3.0-0)","abind, MASS, mgcv, nnet, pbkrtest (>= 0.4-4), quantreg,
grDevices, utils, stats, graphics, maptools, rio, lme4, nlme",NA,"alr4, boot, coxme, knitr, leaps, lmtest, Matrix,
MatrixModels, rgl (>= 0.93.960), sandwich, SparseM, survival,
survey",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
